Years,Months,Dates,Hours,NL_load_
2010,2,5,20,13794
2010,2,5,21,12828
2010,2,5,22,12051
2010,2,5,23,11015
2010,2,6,0,10190
2010,2,6,1,9729
2010,2,6,2,9585
2010,2,6,3,9480
2010,2,6,4,9591
2010,2,6,5,10073
2010,2,6,6,11122
2010,2,6,7,12229
2010,2,6,8,13511
2010,2,6,9,14095
2010,2,6,10,14180
2010,2,6,11,14017
2010,2,6,12,13787
2010,2,6,13,13491
2010,2,6,14,13347
2010,2,6,15,13580
2010,2,6,16,14374
2010,2,6,17,14820
2010,2,6,18,14413
2010,2,6,19,13759
2010,2,6,20,12922
2010,2,6,21,12250
2010,2,6,22,11394
2010,2,6,23,10522
2010,2,7,0,9777
2010,2,7,1,9366
2010,2,7,2,9137
2010,2,7,3,9089
2010,2,7,4,9086
2010,2,7,5,9361
2010,2,7,6,9889
2010,2,7,7,10634
2010,2,7,8,11564
2010,2,7,9,12307
2010,2,7,10,12770
2010,2,7,11,13026
2010,2,7,12,12959
2010,2,7,13,12750
2010,2,7,14,12590
2010,2,7,15,12756
2010,2,7,16,13880
2010,2,7,17,14613
2010,2,7,18,14410
2010,2,7,19,13933
2010,2,7,20,13218
2010,2,7,21,12390
2010,2,7,22,11257
2010,2,7,23,10302
2010,2,8,0,9734
2010,2,8,1,9529
2010,2,8,2,9456
2010,2,8,3,9645
2010,2,8,4,10134
2010,2,8,5,11618
2010,2,8,6,14133
2010,2,8,7,15545
2010,2,8,8,16000
2010,2,8,9,16391
2010,2,8,10,16601
2010,2,8,11,16424
2010,2,8,12,16555
2010,2,8,13,16504
2010,2,8,14,16419
2010,2,8,15,16432
2010,2,8,16,16783
2010,2,8,17,16880
2010,2,8,18,16564
2010,2,8,19,15677
2010,2,8,20,14767
2010,2,8,21,13556
2010,2,8,22,12433
2010,2,8,23,11334
2010,2,9,0,10633
2010,2,9,1,10290
2010,2,9,2,10187
2010,2,9,3,10239
2010,2,9,4,10624
2010,2,9,5,12110
2010,2,9,6,14664
2010,2,9,7,16094
2010,2,9,8,16595
2010,2,9,9,16709
2010,2,9,10,16680
2010,2,9,11,16436
2010,2,9,12,16389
2010,2,9,13,16316
2010,2,9,14,16257
2010,2,9,15,16323
2010,2,9,16,16719
2010,2,9,17,16852
2010,2,9,18,16538
2010,2,9,19,15781
2010,2,9,20,14898
2010,2,9,21,13579
2010,2,9,22,12494
2010,2,9,23,11322
2010,2,10,0,10616
2010,2,10,1,10329
2010,2,10,2,10248
2010,2,10,3,10282
2010,2,10,4,10651
2010,2,10,5,12111
2010,2,10,6,14542
2010,2,10,7,15956
2010,2,10,8,16727
2010,2,10,9,16885
2010,2,10,10,16812
2010,2,10,11,16600
2010,2,10,12,16681
2010,2,10,13,16620
2010,2,10,14,16491
2010,2,10,15,16414
2010,2,10,16,16721
2010,2,10,17,16889
2010,2,10,18,16616
2010,2,10,19,15875
2010,2,10,20,15025
2010,2,10,21,13835
2010,2,10,22,12803
2010,2,10,23,11531
2010,2,11,0,10795
2010,2,11,1,10447
2010,2,11,2,10343
2010,2,11,3,10382
2010,2,11,4,10766
2010,2,11,5,12215
2010,2,11,6,14625
2010,2,11,7,15891
2010,2,11,8,16669
2010,2,11,9,16800
2010,2,11,10,16801
2010,2,11,11,16534
2010,2,11,12,16563
2010,2,11,13,16375
2010,2,11,14,16241
2010,2,11,15,16161
2010,2,11,16,16359
2010,2,11,17,16987
2010,2,11,18,16728
2010,2,11,19,16074
2010,2,11,20,14991
2010,2,11,21,13717
2010,2,11,22,12717
2010,2,11,23,11568
2010,2,12,0,10830
2010,2,12,1,10488
2010,2,12,2,10361
2010,2,12,3,10418
2010,2,12,4,10835
2010,2,12,5,12238
2010,2,12,6,14442
2010,2,12,7,15777
2010,2,12,8,16491
2010,2,12,9,16568
2010,2,12,10,16581
2010,2,12,11,16363
2010,2,12,12,16255
2010,2,12,13,15982
2010,2,12,14,15743
2010,2,12,15,15586
2010,2,12,16,15810
2010,2,12,17,16430
2010,2,12,18,16099
2010,2,12,19,15287
2010,2,12,20,14283
2010,2,12,21,13235
2010,2,12,22,12350
2010,2,12,23,11333
2010,2,13,0,10538
2010,2,13,1,10143
2010,2,13,2,9953
2010,2,13,3,9894
2010,2,13,4,9958
2010,2,13,5,10439
2010,2,13,6,11360
2010,2,13,7,12484
2010,2,13,8,13774
2010,2,13,9,14363
2010,2,13,10,14581
2010,2,13,11,14476
2010,2,13,12,14078
2010,2,13,13,13709
2010,2,13,14,13494
2010,2,13,15,13524
2010,2,13,16,13973
2010,2,13,17,14847
2010,2,13,18,14583
2010,2,13,19,14009
2010,2,13,20,13218
2010,2,13,21,12506
2010,2,13,22,11734
2010,2,13,23,10892
2010,2,14,0,10068
2010,2,14,1,9649
2010,2,14,2,9473
2010,2,14,3,9406
2010,2,14,4,9404
2010,2,14,5,9649
2010,2,14,6,10107
2010,2,14,7,10749
2010,2,14,8,11584
2010,2,14,9,12292
2010,2,14,10,12631
2010,2,14,11,12871
2010,2,14,12,12749
2010,2,14,13,12514
2010,2,14,14,12344
2010,2,14,15,12414
2010,2,14,16,13288
2010,2,14,17,14371
2010,2,14,18,14340
2010,2,14,19,13951
2010,2,14,20,13292
2010,2,14,21,12453
2010,2,14,22,11579
2010,2,14,23,10566
2010,2,15,0,9926
2010,2,15,1,9646
2010,2,15,2,9600
2010,2,15,3,9716
2010,2,15,4,10094
2010,2,15,5,11456
2010,2,15,6,13561
2010,2,15,7,14878
2010,2,15,8,15546
2010,2,15,9,15743
2010,2,15,10,15847
2010,2,15,11,15618
2010,2,15,12,15581
2010,2,15,13,15456
2010,2,15,14,15349
2010,2,15,15,15334
2010,2,15,16,15540
2010,2,15,17,15985
2010,2,15,18,15875
2010,2,15,19,15096
2010,2,15,20,14295
2010,2,15,21,13165
2010,2,15,22,12127
2010,2,15,23,11087
2010,2,16,0,10449
2010,2,16,1,10114
2010,2,16,2,9946
2010,2,16,3,9965
2010,2,16,4,10339
2010,2,16,5,11728
2010,2,16,6,13862
2010,2,16,7,15092
2010,2,16,8,15859
2010,2,16,9,16144
2010,2,16,10,16196
2010,2,16,11,15986
2010,2,16,12,15907
2010,2,16,13,15588
2010,2,16,14,15335
2010,2,16,15,15291
2010,2,16,16,15432
2010,2,16,17,15950
2010,2,16,18,15963
2010,2,16,19,15237
2010,2,16,20,14424
2010,2,16,21,13300
2010,2,16,22,12283
2010,2,16,23,11235
2010,2,17,0,10478
2010,2,17,1,10070
2010,2,17,2,10015
2010,2,17,3,10121
2010,2,17,4,10545
2010,2,17,5,11956
2010,2,17,6,14112
2010,2,17,7,15473
2010,2,17,8,16199
2010,2,17,9,16388
2010,2,17,10,16278
2010,2,17,11,16108
2010,2,17,12,16168
2010,2,17,13,16115
2010,2,17,14,16057
2010,2,17,15,15958
2010,2,17,16,16213
2010,2,17,17,16441
2010,2,17,18,16243
2010,2,17,19,15399
2010,2,17,20,14570
2010,2,17,21,13346
2010,2,17,22,12232
2010,2,17,23,11109
2010,2,18,0,10420
2010,2,18,1,10083
2010,2,18,2,9976
2010,2,18,3,10049
